Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1644475045,FE80::48D0:5EFF:FE5F:6F4F,0,FF02::16,0,0,76,0,1,0,1644475045896;,76;,1;
1644475046,192.168.224.3,59006,192.168.208.2,5001,6,60,0,1,0,1644475046728;,60;,1;
1644475047,192.168.224.3,59006,192.168.208.2,5001,6,13664,60,11,1,1644475047927;1644475047927;1644475047928;1644475047928;1644475047928;1644475047928;1644475047928;1644475047928;1644475047928;1644475047928;1644475047928;1644475047928;,60;52;112;1500;1500;1500;1500;1500;1500;1500;1500;1500;,2;1;1;1;1;1;1;1;1;1;1;1;
1644475048,192.168.224.3,59006,192.168.208.2,5001,6,52,60,1,1,1644475048935;1644475048935;,60;52;,2;1;
1644475049,FE80::48D0:5EFF:FE5F:6F4F,0,FF02::2,0,58,56,0,1,0,1644475049672;,56;,1;
1644475049,192.168.224.3,59006,192.168.208.2,5001,6,52,60,1,1,1644475049953;1644475049953;,60;52;,2;1;
1644475050,192.168.224.3,59006,192.168.208.2,5001,6,30000,520,20,10,1644475050130;1644475050130;1644475050130;1644475050132;1644475050132;1644475050132;1644475050132;1644475050132;1644475050132;1644475050132;1644475050132;1644475050132;1644475050133;1644475050133;1644475050133;1644475050133;1644475050133;1644475050133;1644475050133;1644475050133;1644475050133;1644475050134;1644475050134;1644475050134;1644475050134;1644475050134;1644475050134;1644475050134;1644475050134;1644475050134;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1644475052,192.168.224.3,59006,192.168.208.2,5001,6,60000,676,40,13,1644475052334;1644475052334;1644475052334;1644475052334;1644475052334;1644475052334;1644475052334;1644475052334;1644475052334;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052338;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;1644475052352;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;
1644475054,192.168.224.3,59006,192.168.208.2,5001,6,120000,1560,80,30,1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054540;1644475054542;1644475054542;1644475054542;1644475054542;1644475054542;1644475054542;1644475054542;1644475054542;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054543;1644475054568;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054569;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;1644475054570;,52;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1644475056,192.168.224.3,59006,192.168.208.2,5001,6,240000,4160,160,80,1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056744;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056745;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056746;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056751;1644475056752;1644475056752;1644475056752;1644475056752;1644475056752;1644475056752;1644475056752;1644475056752;1644475056752;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056754;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056755;1644475056775;1644475056775;1644475056775;1644475056775;1644475056775;1644475056775;1644475056775;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056776;1644475056780;1644475056780;1644475056780;1644475056780;1644475056780;1644475056780;1644475056780;1644475056780;1644475056780;1644475056782;1644475056782;1644475056782;1644475056783;1644475056783;1644475056783;1644475056783;1644475056783;1644475056783;1644475056783;1644475056784;1644475056784;1644475056790;1644475056790;1644475056790;1644475056790;1644475056790;1644475056790;1644475056803;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056804;1644475056805;1644475056805;1644475056805;1644475056805;1644475056805;1644475056805;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
