Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1644463859,192.168.192.3,34432,192.168.176.2,5001,6,60,0,1,0,1644463859699;,60;,1;
1644463860,192.168.192.3,34432,192.168.176.2,5001,6,13664,60,11,1,1644463860697;1644463860699;1644463860709;1644463860709;1644463860709;1644463860709;1644463860709;1644463860709;1644463860709;1644463860709;1644463860709;1644463860709;,60;52;112;1500;1500;1500;1500;1500;1500;1500;1500;1500;,2;1;1;1;1;1;1;1;1;1;1;1;
1644463861,192.168.192.3,34432,192.168.176.2,5001,6,52,60,1,1,1644463861711;1644463861711;,60;52;,2;1;
1644463861,FE80::501B:70FF:FE90:780B,0,FF02::2,0,58,56,0,1,0,1644463861747;,56;,1;
1644463862,192.168.192.3,34432,192.168.176.2,5001,6,30000,520,20,10,1644463862720;1644463862720;1644463862720;1644463862720;1644463862720;1644463862720;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;1644463862721;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1644463864,192.168.192.3,34432,192.168.176.2,5001,6,60000,676,40,13,1644463864731;1644463864731;1644463864731;1644463864731;1644463864731;1644463864731;1644463864731;1644463864731;1644463864731;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864732;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864734;1644463864739;1644463864739;1644463864740;1644463864740;1644463864740;1644463864740;1644463864740;1644463864740;1644463864749;1644463864749;1644463864749;1644463864749;1644463864749;1644463864749;1644463864749;1644463864749;1644463864749;1644463864749;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;52;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;
1644463866,192.168.192.3,34432,192.168.176.2,5001,6,120000,1300,80,25,1644463866736;1644463866736;1644463866736;1644463866737;1644463866737;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866738;1644463866753;1644463866753;1644463866753;1644463866753;1644463866753;1644463866753;1644463866753;1644463866753;1644463866753;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866763;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866764;1644463866765;1644463866765;1644463866765;1644463866765;1644463866765;1644463866765;1644463866765;1644463866765;1644463866765;1644463866765;1644463866765;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866766;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;1644463866779;,52;1500;1500;1500;1500;52;1500;1500;52;52;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1644463868,192.168.192.3,34432,192.168.176.2,5001,6,240000,4160,160,80,1644463868742;1644463868742;1644463868742;1644463868742;1644463868742;1644463868742;1644463868742;1644463868742;1644463868742;1644463868745;1644463868745;1644463868745;1644463868745;1644463868745;1644463868745;1644463868745;1644463868745;1644463868745;1644463868746;1644463868746;1644463868746;1644463868746;1644463868746;1644463868746;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868751;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868767;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868768;1644463868769;1644463868769;1644463868769;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868783;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868784;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868791;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868792;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868793;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;1644463868831;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1644463868,FE80::501B:70FF:FE90:780B,0,FF02::2,0,58,56,0,1,0,1644463868914;,56;,1;
1644463870,192.168.192.3,34432,192.168.176.2,5001,6,479416,8320,320,160,1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870746;1644463870747;1644463870747;1644463870747;1644463870747;1644463870747;1644463870747;1644463870747;1644463870747;1644463870747;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870764;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870765;1644463870769;1644463870769;1644463870769;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870775;1644463870776;1644463870776;1644463870776;1644463870776;1644463870776;1644463870776;1644463870776;1644463870776;1644463870776;1644463870776;1644463870776;1644463870791;1644463870791;1644463870791;1644463870807;1644463870807;1644463870807;1644463870807;1644463870807;1644463870807;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870837;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870838;1644463870842;1644463870842;1644463870842;1644463870842;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870850;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870860;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870861;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870862;1644463870863;1644463870863;1644463870863;1644463870863;1644463870863;1644463870863;1644463870863;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;52;52;52;52;52;52;52;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;916;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;
