Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1644462932,FE80::701C:3FF:FE2A:8773,0,FF02::16,0,0,76,0,1,0,1644462932115;,76;,1;
1644462932,FE80::701C:3FF:FE2A:8773,0,FF02::2,0,58,56,0,1,0,1644462932115;,56;,1;
1644462932,192.168.128.3,35302,192.168.112.2,5001,6,13724,60,12,1,1644462932437;1644462932820;1644462932820;1644462932821;1644462932821;1644462932821;1644462932821;1644462932821;1644462932821;1644462932821;1644462932821;1644462932821;1644462932821;,60;60;52;112;1500;1500;1500;1500;1500;1500;1500;1500;1500;,1;2;1;1;1;1;1;1;1;1;1;1;1;
1644462933,FE80::701C:3FF:FE2A:8773,0,FF02::16,0,0,76,0,1,0,1644462933139;,76;,1;
1644462933,192.168.128.3,35302,192.168.112.2,5001,6,52,120,1,2,1644462933841;1644462933841;1644462933841;,60;52;60;,2;1;2;
1644462934,192.168.128.3,35302,192.168.112.2,5001,6,30000,520,20,10,1644462934222;1644462934222;1644462934222;1644462934222;1644462934222;1644462934222;1644462934222;1644462934222;1644462934222;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934224;1644462934225;1644462934225;1644462934225;1644462934225;1644462934225;1644462934225;1644462934225;1644462934225;1644462934225;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1644462935,192.168.128.3,35302,192.168.112.2,5001,6,60000,676,40,13,1644462935628;1644462935628;1644462935628;1644462935628;1644462935628;1644462935628;1644462935628;1644462935628;1644462935628;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935629;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935643;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;1644462935644;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;
1644462936,FE80::701C:3FF:FE2A:8773,0,FF02::2,0,58,56,0,1,0,1644462936050;,56;,1;
1644462937,192.168.128.3,35302,192.168.112.2,5001,6,120000,1404,80,27,1644462937032;1644462937032;1644462937032;1644462937032;1644462937032;1644462937034;1644462937034;1644462937034;1644462937034;1644462937034;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937035;1644462937052;1644462937052;1644462937052;1644462937052;1644462937052;1644462937052;1644462937052;1644462937052;1644462937052;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937053;1644462937061;1644462937061;1644462937061;1644462937061;1644462937061;1644462937061;1644462937061;1644462937061;1644462937061;1644462937061;1644462937061;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937062;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;1644462937077;,52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1644462938,192.168.128.3,35302,192.168.112.2,5001,6,240000,4160,160,80,1644462938435;1644462938436;1644462938436;1644462938436;1644462938436;1644462938436;1644462938436;1644462938436;1644462938436;1644462938436;1644462938436;1644462938436;1644462938438;1644462938438;1644462938438;1644462938438;1644462938438;1644462938438;1644462938440;1644462938440;1644462938440;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938441;1644462938459;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938460;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938461;1644462938462;1644462938462;1644462938462;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938463;1644462938464;1644462938464;1644462938464;1644462938464;1644462938464;1644462938464;1644462938464;1644462938464;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938484;1644462938491;1644462938491;1644462938491;1644462938491;1644462938491;1644462938491;1644462938491;1644462938491;1644462938491;1644462938492;1644462938492;1644462938492;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938493;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938494;1644462938511;1644462938511;1644462938511;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
